Epoch 1: loss: 0.27836123756740405, acc: 88.88888888888889
Epoch 2: loss: 0.2957016760888307, acc: 89.30041152263375
Epoch 3: loss: 0.2992760111456332, acc: 88.95747599451303
Epoch 4: loss: 0.23204696761525195, acc: 91.22085048010975
Epoch 5: loss: 0.27668183329312696, acc: 89.7119341563786
Epoch 6: loss: 0.2543194579041522, acc: 89.91769547325103
Epoch 7: loss: 0.2930120424084041, acc: 89.02606310013718
Epoch 8: loss: 0.263173450594363, acc: 88.7517146776406
Epoch 9: loss: 0.23188417113345602, acc: 91.35802469135803
Epoch 10: loss: 0.22763878852128983, acc: 90.74074074074075
Epoch 11: loss: 0.2214813310167064, acc: 91.08367626886145
Epoch 12: loss: 0.2060785183440084, acc: 91.4951989026063
Epoch 13: loss: 0.20133728987496832, acc: 91.1522633744856
Epoch 14: loss: 0.2178558772024901, acc: 90.94650205761317
Epoch 15: loss: 0.21595735264861066, acc: 90.12345679012346
Epoch 16: loss: 0.2012204592642577, acc: 91.70096021947874
Epoch 17: loss: 0.21867996454238892, acc: 90.74074074074075
Epoch 18: loss: 0.21714997421140256, acc: 91.42661179698217
Epoch 19: loss: 0.19344074667795844, acc: 91.9753086419753
Epoch 20: loss: 0.20042309116410173, acc: 91.90672153635117
Epoch 21: loss: 0.218963372318641, acc: 91.08367626886145
Epoch 22: loss: 0.1748364344239235, acc: 93.55281207133059
Epoch 23: loss: 0.19129494772009228, acc: 92.18106995884774
Epoch 24: loss: 0.20386158059472623, acc: 92.5925925925926
Epoch 25: loss: 0.21264520417089047, acc: 91.56378600823045
Epoch 26: loss: 0.2052647309458774, acc: 92.18106995884774
Epoch 27: loss: 0.1926626776871474, acc: 91.9753086419753
Epoch 28: loss: 0.21827893606994464, acc: 91.35802469135803
Epoch 29: loss: 0.20984173533709152, acc: 91.35802469135803
Epoch 30: loss: 0.2163706123828888, acc: 90.87791495198903
Epoch 31: loss: 0.2144479265679484, acc: 91.28943758573388
Epoch 32: loss: 0.21129374562398248, acc: 90.80932784636488
Epoch 33: loss: 0.2263021148417307, acc: 91.28943758573388
Epoch 34: loss: 0.22444242238998413, acc: 90.53497942386831
Epoch 35: loss: 0.24950674953668014, acc: 90.05486968449931
Epoch 36: loss: 0.24029338295045105, acc: 90.05486968449931
Epoch 37: loss: 0.24240657168885935, acc: 90.05486968449931
